trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
Rt10AMTrp1,05:42:00,05:42:00,0,1,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,05:45:00,05:45:00,424,2,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,05:55:00,05:55:00,426,3,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,05:57:00,05:57:00,427,4,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,06:00:00,06:00:00,428,5,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,06:03:00,06:03:00,430,6,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,06:05:00,06:05:00,444,7,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,06:08:00,06:08:00,432,8,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,06:11:00,06:11:00,433,9,La Crescent from Downtown (Outbound),,
Rt10AMTrp1,06:12:00,06:12:00,434,10,Downtown from La Crescent (Inbound),,
Rt10AMTrp1,06:17:00,06:17:00,425,11,Downtown from La Crescent (Inbound),,
Rt10AMTrp1,06:22:00,06:22:00,435,12,Downtown from La Crescent (Inbound),,
Rt10AMTrp1,06:30:00,06:30:00,0,13,Downtown from La Crescent (Inbound),,
Rt10AMTrp2,06:42:00,06:42:00,0,1,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,06:45:00,06:45:00,424,2,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,06:55:00,06:55:00,426,3,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,06:57:00,06:57:00,427,4,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,07:00:00,07:00:00,428,5,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,07:03:00,07:03:00,430,6,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,07:05:00,07:05:00,444,7,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,07:08:00,07:08:00,432,8,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,07:11:00,07:11:00,433,9,La Crescent from Downtown (Outbound),,
Rt10AMTrp2,07:12:00,07:12:00,434,10,Downtown from La Crescent (Inbound),,
Rt10AMTrp2,07:17:00,07:17:00,425,11,Downtown from La Crescent (Inbound),,
Rt10AMTrp2,07:22:00,07:22:00,435,12,Downtown from La Crescent (Inbound),,
Rt10AMTrp2,07:30:00,07:30:00,0,13,Downtown from La Crescent (Inbound),,
Rt10AMTrp3,07:42:00,07:42:00,0,1,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,07:45:00,07:45:00,424,2,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,07:55:00,07:55:00,426,3,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,07:57:00,07:57:00,427,4,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,08:00:00,08:00:00,428,5,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,08:03:00,08:03:00,430,6,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,08:05:00,08:05:00,444,7,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,08:08:00,08:08:00,432,8,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,08:11:00,08:11:00,433,9,La Crescent from Downtown (Outbound),,
Rt10AMTrp3,08:12:00,08:12:00,434,10,Downtown from La Crescent (Inbound),,
Rt10AMTrp3,08:17:00,08:17:00,425,11,Downtown from La Crescent (Inbound),,
Rt10AMTrp3,08:22:00,08:22:00,435,12,Downtown from La Crescent (Inbound),,
Rt10AMTrp3,08:30:00,08:30:00,0,13,Downtown from La Crescent (Inbound),,
Rt10AMTrp4,08:42:00,08:42:00,0,1,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,08:45:00,08:45:00,424,2,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,08:55:00,08:55:00,426,3,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,08:57:00,08:57:00,427,4,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,09:00:00,09:00:00,428,5,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,09:03:00,09:03:00,430,6,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,09:05:00,09:05:00,444,7,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,09:08:00,09:08:00,432,8,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,09:11:00,09:11:00,433,9,La Crescent from Downtown (Outbound),,
Rt10AMTrp4,09:12:00,09:12:00,434,10,Downtown from La Crescent (Inbound),,
Rt10AMTrp4,09:17:00,09:17:00,425,11,Downtown from La Crescent (Inbound),,
Rt10AMTrp4,09:22:00,09:22:00,435,12,Downtown from La Crescent (Inbound),,
